"component","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",4.267358174887,42.6735817488699,42.6735817488699
"Dim.2",3.69588131382114,36.9588131382114,79.6323948870813
"Dim.3",1.37732565974537,13.7732565974537,93.405651484535
"Dim.4",0.20119737105669,2.0119737105669,95.4176251951019
"Dim.5",0.127171436568596,1.27171436568596,96.6893395607879
"Dim.6",0.120095224740694,1.20095224740694,97.8902918081948
"Dim.7",0.0889289088455659,0.889289088455658,98.7795808966505
"Dim.8",0.0513487022419086,0.513487022419085,99.2930679190695
"Dim.9",0.0385595223673532,0.385595223673532,99.6786631427431
"Dim.10",0.0321336857256926,0.321336857256926,100
