feature_set,variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
clinical,age,-0.3185587484755942,0.5960245923565745,0.11242106696959732,0.09850866029841882,-0.04805378445406655,0.5922880019897466,-0.4096563353862677,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,maritalStatus,0.27737245185988046,-0.10417912258278189,-0.629466274504571,0.6587593370239806,0.14699599496889915,0.24037355018461704,-0.05130606540097249,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,smokingStatus,-0.2821384029431066,-0.2791613879640772,0.6005763813490561,0.5952065510019735,0.12026310068907961,0.13799797487904208,0.30658988634105777,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,numChildren,-0.052733780760186644,-0.6941728678777802,-0.04088516652190996,-0.3107920376343019,-0.19810605126072103,0.5866554242812112,-0.1834919507389504,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,seasonalDepression,0.4659299731853944,0.1501291446053811,0.17941708273869106,0.15865615855959347,-0.8128554446202275,0.09810579615089975,0.18069176160803574,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,socioEconomicStatus,-0.5230498615692034,0.11985846218730448,-0.41593587134625465,-0.10853912022096218,-0.22302055443152213,0.14437921525513797,0.6757853772959206,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical,MDD_severity,-0.4985278518500703,-0.19284588063663538,-0.15354799782436818,0.26175777629358643,-0.46032776234069017,-0.4446766759402402,-0.4610285579639844,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinical_biomarkers,age,-0.042161739448213775,-0.5297111138796935,-0.42386166078181126,0.14694800983707526,0.1374339834150381,0.09658984547025623,-0.013872074746479269,-0.07779450120372547,-0.21739229612892683,-0.6325893465051983,-0.12021962363174739,-0.05323960689125969,-0.08714541740228093,0.01906083733105207,-0.05796676097571558,-0.07668305884920619
clinical_biomarkers,maritalStatus,0.003585095679050243,0.5309128348055027,-0.11379705344151506,0.19862251281842194,0.27551036626981573,0.39565744345794246,-0.4765635050584966,-0.19114932773738175,-0.03402971880509864,-0.2240646221110555,0.31427992809115113,-0.05083395716784139,0.03841216355791757,0.03648503464269801,-0.05362375814320554,0.10590241771584198
clinical_biomarkers,smokingStatus,-0.10580589486145577,-0.2957708576829945,0.44268386136539584,-0.0790952891813065,0.2032244980910704,0.4502964815143074,0.06335388992866443,-0.1953402340088541,-0.547329536385251,0.21186764279094772,0.06161938672648358,0.22935865930224436,0.04358747516355309,-0.053698880704743934,0.05697730815437448,0.06301818697939664
clinical_biomarkers,numChildren,-0.06705006402450009,0.2012141422798625,0.5216901334812615,0.22929683218150052,0.06420106915093737,-0.5389835008017015,0.13246932638970696,-0.2103650515712727,-0.16903338010583843,-0.4659078814300095,0.042741731849209263,0.07108682901777985,-0.050911640336898704,-0.09758260216322752,-0.030272841280634365,0.0911017108049764
clinical_biomarkers,seasonalDepression,0.25301190455107,0.12474386793866371,-0.057915247558860926,-0.11694454522058896,0.1414271069633652,0.11865061847283626,0.17549490883399588,-0.7005346282211126,0.2620024193519764,0.024363316008376643,-0.42931030904520995,0.05033455854877754,-0.14208342362844467,-0.14556417630243665,0.17733700972080824,-0.13733945150471924
clinical_biomarkers,socioEconomicStatus,-0.2138287537975764,-0.2917728065834794,-0.1870574021584745,0.26995123662041975,-0.20957219319864367,-0.2737028183352577,-0.3280693265847702,-0.38274942280410307,0.11442762327835296,0.26329622453207324,0.3442523023998147,0.32821846062308646,-0.11198710283636479,-0.07371144359970679,0.23567961472781845,0.07839932118561749
clinical_biomarkers,MDD_severity,-0.3169035426086142,-0.06533032661022134,-0.010680615531225804,-0.13869051289349388,0.15529232016907926,0.06925236718609644,0.3876246826690691,-0.23504404686067,0.34905097715610905,-0.025061450793683923,0.3229106290070037,0.13361337436069695,0.03406810578237028,0.3596181293467437,-0.5160762170061327,0.011653321412155672
clinical_biomarkers,plasmaSerotonin,0.39903740671939697,-0.09079338855032247,0.024745477049103,0.05734136101685087,0.05603955410854144,-0.028921782004274678,0.013899787411410267,0.013473115030556414,-6.075250063457497e-4,0.030737465806008682,-0.06380823353932828,0.020527480797841238,-0.29032504158517203,0.5526967354137472,0.11185386741721098,0.6454162071935469
clinical_biomarkers,AHR,0.3484821739071916,-0.08985179757390933,-0.028743604777762853,-0.18169210545203482,-0.06584475698470985,0.12316319434688303,0.11502430564673519,0.12224593898473127,0.23690779384144792,-0.23031926865599087,0.21943221152068507,0.38560584561495004,0.24484690919000998,-0.5224221569098046,-0.05643062917756032,0.3832692019829734
clinical_biomarkers,TSPAN5,0.3727168290086267,0.05898730347758743,-0.00907531747744162,-0.005071626205072274,-0.018067870978341977,-0.0032055076213713535,0.009554306612888017,0.12395789609703509,-0.13529806471265066,0.05607102908670497,0.23992900344758888,0.23314968822260024,-0.683104865320769,-0.1034860725107016,-0.29937639989359255,-0.3759772986880132
