model,feature_set,cv_roc_auc,cv_roc_auc_se,cv_accuracy,train_roc_auc,accuracy,kap,sens,spec,ppv,npv,mcc,j_index,bal_accuracy,detection_prevalence,precision,recall,f_meas,roc_auc,nir,p_value_acc_gt_nir
rf,clinical,0.9093,0.008766832206605502,0.8453333333333334,0.9704,0.53,0.06000000000000005,0.92,0.14,0.5168539325842697,0.6363636363636365,0.09588041581508897,0.06000000000000005,0.53,0.89,0.5168539325842697,0.92,0.6618705035971224,0.7476,0.5,0.30864970679462594
rf,clinical_biomarkers,0.9999,1.0000000000000009e-4,0.974,1,0.82,0.64,0.64,1,1,0.7352941176470589,0.6859943405700354,0.6400000000000001,0.8200000000000001,0.32,1,0.64,0.7804878048780487,0.9471999999999999,0.5,3.0739033075240025e-11
svm_linear,clinical,0.897,0.007429944927969052,0.8386666666666667,0.927,0.72,0.43999999999999995,0.94,0.5,0.6527777777777778,0.8928571428571428,0.4899789435061114,0.43999999999999995,0.72,0.72,0.6527777777777778,0.94,0.7704918032786886,0.86,0.5,6.289575008339428e-6
svm_linear,clinical_biomarkers,1,0,1,1,0.76,0.52,0.52,1,1,0.6756756756756757,0.5927489783638191,0.52,0.76,0.26,1,0.52,0.6842105263157895,1,0.5,9.0500131065146e-8
svm_rbf,clinical,0.8856,0.00862913905417722,0.6666666666666666,0.90645,0.5,0,0,1,NA,0.5,NA,0,0.5,0,NA,0,NA,0.8019999999999999,0.5,0.5397946186935891
svm_rbf,clinical_biomarkers,0.9997,1.696334583862561e-4,0.6666666666666666,0.99985,0.5,0,0,1,NA,0.5,NA,0,0.5,0,NA,0,NA,0.998,0.5,0.5397946186935891
gbm,clinical,0.8983,0.007991845333634447,0.854,0.9968,0.56,0.12,0.92,0.2,0.5348837209302325,0.7142857142857144,0.1729171253112705,0.1200000000000001,0.56,0.86,0.5348837209302325,0.92,0.6764705882352942,0.8356,0.5,0.13562651203691747
gbm,clinical_biomarkers,0.9982,5.103020314140505e-4,0.9806666666666667,1,0.63,0.26,0.26,1,1,0.5747126436781609,0.38655567174253413,0.26,0.63,0.13,1,0.26,0.41269841269841273,0.9863999999999999,0.5,0.006016487862681737
